Epochs,Predicted Sentence
0,"rileej prasiddh prasiddh prasiddh without filmon diamond jail jail hume,, huya bharosa khyaal khyaal kahani kahani khyaal kahani jeff prasiddh prasiddh sexual lagatee jeetane mool mool jinase chalti chalti deserve jeetane mool mool moments jinase selection kahani prasiddh prasiddh bahen diamond kabi jail hume,, luhrmann bharosa"
1,"kya, hai <eos>"
2,mujhe bhi hai <eos>
3,mujhe bhi nahi hoon <eos>
4,mujhe bhi pasand pasand hai <eos>
5,mujhe bhi pasand pasand <eos>
6,mujhe bhi pasand pasand <eos>
7,mujhe bhi pasand pasand <eos>
8,mujhe bhi pasand hai <eos>
9,mujhe <unk> pasand hai <eos>
10,mujhe difference pasand hai <eos>
11,mujhe difference hai mustangs <eos>
12,mujhe <unk> pasand hai <eos>
13,mujhe lgta hai mustangs <eos>
14,muje bhi aise hi laga <eos>
15,mujhe pata hai mustangs <eos>
16,mujhe difference hai mustangs <eos>
17,mujhe laga hai mustangs <eos>
18,mujhe bhi hai mustangs <eos>
19,mujhe laga ki bahut like tha <eos>
